2015-10-17,slodki,23:07,23:08,2
2015-10-18,basia,8:39,14:36,126
2015-10-18,slodki,11:50,15:31,154
2015-10-19,basia,8:27,14:17,119
2015-10-19,kuba,17:38,17:49,12
2015-10-20,marta,11:04,11:07,4
2015-10-20,kuba,16:13,17:41,89
2015-10-20,basia,9:19,19:28,181
2015-10-21,slodki,8:54,9:19,26
2015-10-21,basia,11:54,17:08,122
2015-10-21,kuba,17:09,20:15,106
2015-10-22,slodki,10:10,10:20,11
2015-10-22,kuba,12:54,14:52,119
2015-10-22,basia,10:21,20:03,47
2015-10-23,slodki,20:41,22:34,114
2015-10-24,basia,9:14,12:19,64
2015-10-24,slodki,11:12,22:09,489
2015-10-25,kuba,11:20,16:27,137
2015-10-25,marta,19:36,20:12,34
2015-10-25,basia,8:33,20:24,131
2015-10-26,slodki,8:36,9:55,78
2015-10-26,basia,15:10,17:58,123
2015-10-26,marta,19:01,20:45,105
2015-10-27,slodki,8:41,8:57,17
2015-10-27,kuba,17:24,18:49,86
2015-10-27,basia,16:51,19:40,81
2015-10-27,marta,19:42,19:48,7
2015-10-28,basia,15:58,16:01,4
2015-10-28,kuba,16:28,20:58,118
2015-10-29,kuba,13:09,15:07,119
2015-10-29,basia,15:08,19:09,54
2015-10-30,kuba,12:16,14:16,121
2015-10-30,marta,14:28,16:40,133
2015-10-30,basia,17:10,17:25,16
2015-10-31,kuba,7:10,10:11,182
2015-10-31,slodki,12:16,22:08,479
2015-11-01,basia,9:06,10:51,106
2015-11-01,slodki,13:39,21:02,298
2015-11-02,kuba,17:36,18:44,69
2015-11-03,basia,15:39,19:14,216
2015-11-04,slodki,9:17,9:25,9
2015-11-04,basia,17:38,19:50,88
2015-11-05,slodki,9:05,10:28,64
2015-11-05,basia,16:20,20:47,268
2015-11-06,slodki,18:05,23:14,295
2015-11-07,kuba,8:16,10:13,118
2015-11-07,slodki,10:20,16:34,271
2015-11-07,basia,17:08,18:40,86
2015-11-08,basia,9:00,11:00,121
2015-11-08,slodki,12:28,12:39,12
2015-11-09,basia,20:57,21:13,17
2015-11-09,slodki,8:11,21:20,262
2015-11-10,kuba,15:55,19:00,115
2015-11-10,slodki,16:20,22:38,136
2015-11-11,marta,9:39,12:10,152
2015-11-11,slodki,12:11,21:44,384
2015-11-11,kuba,7:20,21:47,124
2015-11-12,slodki,18:38,18:49,12
2015-11-12,kuba,18:51,21:13,120
2015-11-13,kuba,14:39,17:03,145
2015-11-13,slodki,18:38,22:45,215
2015-11-15,slodki,18:04,22:25,262
2015-11-16,basia,16:30,18:00,91
2015-11-16,slodki,18:01,21:04,39
2015-11-17,slodki,9:29,9:44,16
2015-11-17,kuba,15:19,15:20,2
2015-11-18,slodki,17:50,21:00,187
2015-11-19,kuba,18:01,19:34,69
2015-11-20,slodki,13:00,23:45,566
2015-11-21,slodki,10:10,17:32,200
2015-11-24,slodki,12:49,13:08,20
2015-11-24,marta,16:35,19:30,176
2015-11-25,basia,19:17,20:51,94
2015-11-26,basia,13:46,15:48,123
2015-11-27,basia,17:16,17:23,8
2015-11-28,basia,9:49,11:46,118
2015-11-28,slodki,16:58,16:59,2
2015-11-29,slodki,10:51,19:04,179
2015-11-29,basia,19:31,21:09,99
2015-11-30,basia,20:13,20:37,17
2015-12-02,basia,16:14,17:28,75
2015-12-02,slodki,19:33,21:30,118
2015-12-03,basia,16:19,18:19,121
2015-12-04,kuba,14:44,16:44,121
2015-12-04,slodki,21:32,23:10,99
2015-12-05,basia,9:27,10:28,62
2015-12-05,slodki,11:01,14:59,170
2015-12-06,basia,10:04,11:38,83
2015-12-06,slodki,17:36,18:31,56
2015-12-07,basia,18:25,19:13,49
2015-12-07,slodki,8:11,22:27,187
2015-12-08,basia,18:29,18:32,4
2015-12-09,basia,15:35,20:26,28
2015-12-10,slodki,23:26,23:59,34
2015-12-11,basia,14:38,16:19,102
2015-12-11,slodki,0:00,22:41,143
2015-12-13,basia,14:16,16:49,121
2015-12-14,slodki,8:52,14:50,324
2015-12-15,marta,9:11,10:34,84
2015-12-16,slodki,13:07,18:02,169
2015-12-17,slodki,15:58,15:58,1
2015-12-17,basia,15:59,16:36,38
2015-12-18,slodki,17:25,21:27,228
2015-12-19,basia,12:12,15:04,3
2015-12-20,slodki,15:05,21:35,348
2015-12-21,slodki,8:03,16:47,388
2015-12-21,basia,16:48,17:54,67
2015-12-21,kuba,17:56,18:35,40
2015-12-22,slodki,10:57,16:19,288
2015-12-22,basia,21:45,22:10,26
2015-12-23,basia,14:46,15:57,72
2015-12-24,basia,12:06,14:05,120
2015-12-24,slodki,15:49,16:22,26
2015-12-26,marta,9:20,9:21,2
2015-12-26,basia,9:16,10:36,10
2015-12-26,slodki,9:27,14:55,222
2015-12-27,slodki,14:46,16:43,118
2015-12-28,slodki,11:09,20:07,354
2015-12-29,slodki,13:59,22:56,53
2015-12-30,slodki,12:57,16:22,203
2015-12-31,basia,13:21,14:09,49
2016-01-04,marta,21:32,21:38,7
2016-01-09,basia,14:06,15:16,71
2016-01-11,basia,14:44,16:18,95
2016-01-14,basia,19:35,19:42,8
2016-01-17,slodki,20:57,21:54,55
2016-01-18,slodki,19:59,23:59,113
2016-01-19,slodki,0:00,23:30,154
2016-01-20,slodki,0:19,1:56,93
2016-01-21,slodki,9:17,22:16,42
2016-01-22,slodki,19:38,20:19,42
2016-01-24,slodki,16:17,22:55,264
2016-01-25,kuba,16:37,17:44,68
2016-01-26,slodki,20:06,22:49,20
2016-01-28,slodki,9:09,22:37,87
2016-01-29,slodki,18:17,22:42,146
2016-01-30,slodki,12:09,21:33,472
2016-01-31,slodki,11:25,20:36,349
2016-02-01,slodki,20:01,21:10,70
2016-02-02,slodki,19:39,22:09,146
2016-02-03,kuba,17:17,18:37,81
2016-02-03,slodki,7:41,21:55,242
2016-02-04,slodki,8:54,9:19,26
2016-02-04,kuba,12:53,17:08,119
2016-02-05,kuba,16:25,17:42,78
2016-02-06,kuba,7:49,8:36,48
2016-02-06,slodki,13:34,22:18,386
2016-02-07,kuba,19:46,20:09,21
2016-02-07,basia,20:14,20:18,5
2016-02-07,slodki,16:02,20:28,176
2016-02-08,kuba,15:36,17:25,110
2016-02-08,slodki,9:40,21:51,153
